motif,oxidation,barrier,renewal,copper_yield,tof,size,states,residual,oxygen_balance_error,sulfur_balance_error,oxygen_coverage,sulfate_coverage,bare_coverage
path4,0.16,0.95,316.22776601683796,3.09888072709007e-11,9.799521294803274e-09,4,679,3.831686829852461e-11,-4.622259628619136e-12,3.25568820811342e-11,7.084985542600166e-07,6.984992366054996e-10,0.9994942914449115
star4,0.16,0.95,316.22776601683796,4.647247954192954e-11,1.4695888386807583e-08,4,740,4.3334045277163055e-11,-3.764067018102535e-12,-4.525965176418992e-11,7.077992145344116e-07,1.0475069171702016e-09,0.9994942914449118
square,0.16,0.95,316.22776601683796,6.195481760325677e-11,1.9591833564658557e-08,4,842,7.414176584630596e-12,1.6075773591828103e-12,-6.74569210583954e-12,9.437328361734265e-07,1.396482694539181e-09,0.9994942914449135
single,0.16,0.95,1000.0,0.0,0.0,1,3,3.1928331620438256e-14,3.1832609465043404e-14,3.197442310920451e-14,0.0,0.0,0.9998400255959047
pair,0.16,0.95,1000.0,0.0,0.0,2,10,5.11827380381109e-14,-1.012800954214299e-13,-1.021405182655144e-13,4.082715327755133e-08,0.0,0.9998400255959045
path3,0.16,0.95,1000.0,5.800524133152514e-13,5.800524133152514e-10,3,94,2.0147128639019084e-14,-7.876974312150564e-14,-6.47254218599974e-14,5.441076416796143e-08,1.3074589062821315e-11,0.9998400255959048
triangle,0.16,0.95,1000.0,6.214028397346547e-13,6.214028397346547e-10,3,127,1.304705738012641e-11,1.1856532582672576e-12,1.5437253158473005e-11,8.161494623163308e-08,1.4006465097279453e-11,0.9998400255959045
path4,0.16,0.95,1000.0,8.697772095162785e-13,8.697772095162785e-10,4,679,1.9369805345643753e-11,-3.6737872058814745e-12,-6.308925840957947e-12,6.120257901739757e-08,1.9605114357459763e-11,0.9998400255959047
star4,0.16,0.95,1000.0,1.3045616211508323e-12,1.3045616211508323e-09,4,740,3.172563340028841e-11,-4.111138893082218e-12,3.078679764399385e-11,6.118350889390448e-08,2.940535913712693e-11,0.9998400255959049
square,0.16,0.95,1000.0,1.73933529881711e-12,1.7393352988171099e-09,4,842,3.5560443993186406e-11,-1.4550019966718184e-11,3.55445783840549e-13,8.157801622278626e-08,3.920629434985836e-11,0.9998400255959036
single,0.16,0.95,3162.2776601683795,0.0,0.0,1,3,1.4559213877363152e-13,1.4550296731363765e-13,1.4566126083082054e-13,0.0,0.0,0.9999494061173079
pair,0.16,0.95,3162.2776601683795,0.0,0.0,2,10,1.6441745610781843e-13,-3.28126414927965e-13,-3.2862601528904634e-13,2.841888795654288e-09,0.0,0.9999494061173078
path3,0.16,0.95,3162.2776601683795,1.2607861542115341e-14,3.9869558897127397e-11,3,94,1.7801939030057158e-14,-7.207385301621022e-14,-5.431028462220771e-14,3.788661468515723e-09,2.841874434644112e-13,0.999949406117307
triangle,0.16,0.95,3162.2776601683795,1.510075981751975e-14,4.775279542251104e-11,3,127,4.5847792669186395e-11,1.0327979579969164e-11,-4.2722362317207004e-11,5.682917055245274e-09,3.40173738780014e-13,0.9999494061173078
path4,0.16,0.95,3162.2776601683795,1.8909808747385156e-14,5.979806575991269e-11,4,679,4.2965265123332715e-11,2.166818131693021e-11,-4.009260782003835e-11,4.2620471256695995e-09,4.2624439342338525e-13,0.9999494061173078
star4,0.16,0.95,3162.2776601683795,2.8363853658327226e-14,8.969438078001335e-11,4,740,7.398497408069026e-11,2.9065567856449535e-11,-6.740830915344195e-11,4.261654495032081e-09,6.391324656349607e-13,0.9999494061173076
square,0.16,0.95,3162.2776601683795,3.7823396353695566e-14,1.1960808132098564e-10,4,842,6.683014957718473e-11,5.5101003344323636e-11,-4.028229979954498e-11,5.682206451818904e-09,8.512615788020402e-13,0.9999494061173088
single,0.16,0.95,10000.0,0.0,0.0,1,3,1.4558117538633767e-13,1.4549039056843682e-13,1.4555023852835802e-13,0.0,0.0,0.9999840002559959
pair,0.16,0.95,10000.0,0.0,0.0,2,10,2.911234311915395e-13,5.822287096890477e-13,5.823119764158946e-13,1.448837087304078e-10,0.0,0.999984000255996
path3,0.16,0.95,10000.0,1.5637098793074937e-16,1.5637098793074937e-12,3,94,4.3678997365807357e-13,1.7468316372738766e-12,1.31006989938634e-12,1.9317211985635784e-10,3.510096574696088e-15,0.9999840002559962
triangle,0.16,0.95,10000.0,2.292631803732485e-16,2.2926318037324852e-12,3,127,3.957646467658376e-11,-6.441270566059078e-11,-1.7011678113068498e-11,2.8975635336817287e-10,5.59806952378552e-15,0.9999840002559957
path4,0.16,0.95,10000.0,2.3455009114821256e-16,2.3455009114821258e-12,4,679,3.432470299615639e-11,-7.206519561626485e-11,-1.5108147441436724e-11,2.173164468251036e-10,5.959369917009778e-15,0.9999840002559961
star4,0.16,0.95,10000.0,3.5182105722935343e-16,3.5182105722935342e-12,4,740,1.4018568332792934e-11,-8.55116971209143e-11,-1.7825195623096683e-11,2.1731210207608147e-10,8.457803795107024e-15,0.9999840002559961
square,0.16,0.95,10000.0,4.691566112561072e-16,4.691566112561072e-12,4,842,8.334481111035718e-11,1.6721302307559498e-10,8.969281157994999e-11,2.897483680558549e-10,9.37535333745881e-15,0.9999840002560002
single,0.16,1.45,0.01,0.0,0.0,1,3,8.615318527032696e-12,-3.615814245239157e-17,-7.275957614183426e-12,0.0,0.0,0.0588235294117645
pair,0.16,1.45,0.01,0.0,0.0,2,10,1.7488693170240584e-13,-5.024539811993023e-14,-2.2737367544323206e-13,0.9125853556353303,0.0,0.05882352941161696
path3,0.16,1.45,0.01,24.91159901008432,0.2491159901008432,3,94,1.1238018095304233e-11,-2.672306820272752e-13,1.0300871267077127e-11,0.4548797740686939,0.23278807264667983,0.058823529411267055
